prefecture_code,sma_code,area_name,online_primary_count,standard_base_count,online_per_10000_standard_base,online_primary_missing_components
01,0116,宗谷,22.0,409536.6666666667,0.5371924369816296,1
30,3007,新宮,22.0,792095.0,0.2777444624697795,2
21,2105,飛騨,20.333333333333332,1393181.6666666667,0.14594890113636771,1
07,0706,相双,19.666666666666668,1278959.0,0.15377089231685043,1
01,0118,遠紋,18.0,455608.0,0.3950764692454917,1
46,4605,川薩,12.333333333333334,1506696.0,0.08185681340717262,2
11,1110,秩父,9.666666666666666,1025021.6666666666,0.09430694960919525,2
45,4503,延岡西臼杵,9.333333333333334,1568913.6666666667,0.05948914546179618,2
46,4606,出水,9.333333333333334,980856.0,0.09515498027573197,1
03,0303,胆江,8.0,1380724.3333333333,0.0579406026740071,1
08,0809,古河・坂東,5.333333333333333,2099968.6666666665,0.02539720433923935,1
42,4208,壱岐,5.0,246007.0,0.20324624909047304,1
16,1601,新川,5.0,1118133.0,0.04471739945069146,2
10,1007,吾妻,0.0,334570.3333333333,0.0,1
01,0103,北渡島檜山,0.0,203928.0,0.0,0
45,4507,日向入郷,0.0,888322.0,0.0,0
20,2006,木曽,0.0,151770.66666666666,0.0,1
44,4408,西部,0.0,1013171.6666666666,0.0,2
45,4504,日南串間,0.0,749394.3333333334,0.0,1
19,1903,峡南,0.0,366723.0,0.0,1
10,1008,沼田,0.0,804497.6666666666,0.0,2
32,3205,浜田,0.0,934424.6666666666,0.0,3
40,4013,京築,0.0,2022850.0,0.0,1
20,2010,北信,0.0,882808.6666666666,0.0,1
03,0306,釜石,0.0,386220.3333333333,0.0,2
32,3207,隠岐,0.0,160018.66666666666,0.0,1
02,0206,下北地域,0.0,590336.6666666666,0.0,1
32,3202,雲南,0.0,434896.0,0.0,2
33,3303,高梁・新見,0.0,481808.0,0.0,2
33,3304,真庭,0.0,434772.0,0.0,2
30,3003,橋本,0.0,988243.3333333334,0.0,1
29,2905,南和,0.0,563870.3333333334,0.0,1
35,3507,長門,0.0,344441.3333333333,0.0,2
35,3508,萩,0.0,570449.6666666666,0.0,2
28,2809,丹波,0.0,1082284.3333333333,0.0,0
37,3702,小豆,0.0,229168.66666666666,0.0,0
43,4304,鹿本,0.0,649538.6666666666,0.0,2
03,0308,久慈,0.0,414019.0,0.0,2
39,3901,安芸,0.0,493578.0,0.0,0
05,0505,由利本荘・にかほ,0.0,930206.0,0.0,3
05,0508,湯沢・雄勝,0.0,427488.3333333333,0.0,3
01,0114,富良野,0.0,310012.3333333333,0.0,0
40,4010,直方・鞍手,0.0,1211457.3333333333,0.0,0
01,0113,上川北部,0.0,512133.3333333333,0.0,1
01,0102,南檜山,0.0,117412.0,0.0,0
42,4204,県南,0.0,1520105.3333333333,0.0,1
42,4207,上五島,0.0,152060.0,0.0,0
13,1313,島しょ,0.0,146168.0,0.0,1
